wikidata_id,instance_of,admin_unit,area,capital,coordinates,population,subdivision,flag_info,flag_image,coat_of_arms_info,coat_of_arms_image,map_image,insignia,postal_code,first_written_record,inception,abolition,partner_cities,gnd,geonames_id,openstreetmap_rel_id,openstreetmap_node_id,district_key,municipality_key,regional_key,label_de,label_en,label_fr,desc_de,desc_en,desc_fr,sitelink_de,sitelink_en,sitelink_fr,bundesland,landkreis,type
Q9392518,Q41762994,Q8525,36.63 (2011-01-01T00:00:00Z),,,30561 (2011-01-01T00:00:00Z),"Q80630, Q80639, Q81905",,,,,,,,,,,,,,2826150,,,,081175003,Gemeindeverwaltungsverband Eislingen-Ottenbach-Salach,Eislingen-Ottenbach-Salach GVV,,"Gemeindeverwaltungsverband im Landkreis Göppingen, Baden-Württemberg, Deutschland","municipality administration association in the district Göppingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Göppingen,None
Q9392564,Q41762994,Q8525,,,,,"Q80602, Q80854, Q81158, Q82013, Q83140",,,,,,,,,,,,,,1615664,,,,081175007,Gemeindeverwaltungsverband Oberes Filstal,Oberes Filstal GVV,,"Gemeindeverwaltungsverband im Landkreis Göppingen, Baden-Württemberg, Deutschland","municipality administration association in the district Göppingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Göppingen,None
Q9392596,Q41762994,Q8525,,,,,"Q80444, Q81314",,,,,,,,,,,,,,2825291,,,,081175011,Gemeindeverwaltungsverband Voralb,Voralb GVV,,"Gemeindeverwaltungsverband im Landkreis Göppingen, Baden-Württemberg, Deutschland","municipality administration association in the district Göppingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Göppingen,None
Q9392572,Q41762994,Q8528,,,,,"Q81221, Q83214",,,,,,,,,,,,,,1613882,,,,081195002,Gemeindeverwaltungsverband Plüderhausen-Urbach,Plüderhausen-Urbach GVV,,"Gemeindeverwaltungsverband im Rems-Murr-Kreis, Baden-Württemberg, Deutschland","municipality administration association in the district Rems-Murr-Kreis, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Rems-Murr-Kreis,None
Q9392601,Q41762994,Q8528,,,,,"Q81404, Q81712, Q82741",,,,,,,,,,,,,,1613883,,,,081195006,Gemeindeverwaltungsverband Winnenden,Winnenden GVV,,"Gemeindeverwaltungsverband im Rems-Murr-Kreis, Baden-Württemberg, Deutschland","municipality administration association in the district Rems-Murr-Kreis, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Rems-Murr-Kreis,None
Q9392547,Q41762994,Q8533,,,Point(9.471944444 48.55),,"Q80494, Q80691, Q81006",,,,,,,,,,,,,,1610198,,,,081165002,Gemeindeverwaltungsverband Lenningen,Lenningen GVV,,"Gemeindeverwaltungsverband im Landkreis Esslingen, Baden-Württemberg, Deutschland","municipality administration association in the district Esslingen, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Lenningen,,,Baden-Württemberg,Landkreis Esslingen,None
Q9392571,Q41762994,Q8533,,,Point(9.416388888 48.711666666),,"Q80539, Q80552, Q82274",,,,,,,,,,,,,,2862745,,,,081165006,Gemeindeverwaltungsverband Plochingen,Plochingen GVV,,"Gemeindeverwaltungsverband im Landkreis Esslingen, Baden-Württemberg, Deutschland","municipality administration association in the district Esslingen, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Plochingen,,,Baden-Württemberg,Landkreis Esslingen,None
Q9392600,Q41762994,Q8533,,,,,"Q80644, Q81860",,,,,,,,,,,,,,2862747,,,,081165009,Gemeindeverwaltungsverband Wendlingen am Neckar,Wendlingen am Neckar GVV,,"Gemeindeverwaltungsverband im Landkreis Esslingen, Baden-Württemberg, Deutschland","municipality administration association in the district Esslingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Esslingen,None
Q9392505,Q41762994,Q8536,,,,,"Q404053, Q557768",,,,,,,,,,,,,,1609073,,,,081155001,Gemeindeverwaltungsverband Aidlingen/Grafenau,Aidlingen/Grafenau GVV,,"Gemeindeverwaltungsverband im Landkreis Böblingen, Baden-Württemberg, Deutschland","municipality administration association in the district Böblingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Böblingen,None
Q9392530,Q41762994,Q8536,,,,,"Q435187, Q527883, Q550689",,,,,,,,,,,,,,1609069,,,,081155004,Gemeindeverwaltungsverband Holzgerlingen,Holzgerlingen GVV,,"Gemeindeverwaltungsverband im Landkreis Böblingen, Baden-Württemberg, Deutschland","municipality administration association in the district Böblingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Böblingen,None
