Q3397526,Steinbrücke,46
Q742421,Ensemble,46
Q1021711,Seebad,46
Q2325307,Staatsstraße (Sachsen),45
Q180370,Hospital,45
Q17715832,Burgruine,45
Q35509,Höhle,45
Q1438040,Forschungsbibliothek,45
Q1548518,Große kreisangehörige Stadt,45
Q12043672,Baumdenkmal,45
Q1666019,Interessenverband,45
Q18761864,Bankgebäude,44
Q1500932,Verwaltungsgemeinschaft in Sachsen-Anhalt,44
Q2282740,Siedlungshaus,44
Q6498663,Feuerwehr,44
Q241045,Porträtbüste,44
Q15145537,Stadtbahnstrecke,44
Q2138576,Registergericht,44
Q2116450,Rittergut,44
Q82794,Region,44
Q9299236,eingetragener Verein,43
Q2244647,Schlosspark,43
Q875016,Reihenhaus,43
Q562166,Wohnungsbaugenossenschaft,43
Q207934,Allee,43
Q27916659,historischer Ort,43
Q200023,Schwimmbad,42
Q25550691,Rathaus,42
Q252021,Villa rustica,42
Q1404150,Felsen,42
Q15848826,Stadtpalais,42
Q131183,Cabaret,42
Q570116,Sehenswürdigkeit,42
Q1378975,Kongresszentrum,42
Q124714,Quelle,41
Q106504960,Siedlung der Urnenfelderzeit,41
Q55493,Güterbahnhof,41
Q1228895,Diskothek,41
Q98094402,Klostergebäude,41
Q1664720,Institut,40
Q3277997,Genossenschaftsbank,40
Q556186,Schacht,40
Q15815716,Hochbunker,40
Q3397519,Spannbetonbrücke,40
Q190157,Sendeanlage,40
Q897285,Landschaftsverband,40
Q483110,Stadion,40
Q1457501,Friedhofskapelle,40
Q38720,Windmühle,39
Q3240227,Hochmoor,39
Q122073741,Streckenabschnitt,39
Q178790,Gewerkschaft,39
Q130222,ATP Stuttgart,39
Q40357,Gefängnis,39
Q79424059,Stadtteil von Chemnitz,39
Q18984099,Fährverbindung,39
Q811683,geplantes Bauwerk,39
Q23002037,öffentliche Bildungseinrichtung,39
Q159334,weiterführende Schule,38
Q57305,Messe,38
Q131186,Chor,38
Q1206071,Deutsches Turnfest,38
Q10373565,Wasserwerk,38
Q336764,Abzweigstelle,38
Q39715,Leuchtturm,38
Q1885014,Mahnmal,38
Q194029,Römerstraße,37
Q72926449,Kirchturm,37
Q19274527,Bahnhofsteil,37
Q170584,Projekt,37
Q6453233,Duplex,37
Q18325841,öffentliches Verkehrsnetz,37
Q107598520,Lübecker Senat,37
Q109607,Ruine,37
Q16522751,erfüllende Gemeinde,37
Q27997185,Straßenbahnstrecke,37
Q1595639,Heimatmuseum,37
Q1484611,Bauerschaft,37
Q13107184,Apotheke,37
Q372690,Generalkonsulat,37
Q158218,Fachwerkbrücke,37
Q2305602,Sozialgericht,36
Q81917,Wehrturm,36
Q18199879,Trolleybussystem,36
Q1823448,Lichtinstallation,36
Q2048319,Wassergraben,36
Q2328157,Stadtteilschule,36
Q464980,Ausstellung,35
Q98374631,Transport nach Land oder Region,35
Q4663385,ehemaliger Bahnhof,35
Q81851,Bastion,35
Q2588110,Wohnstallhaus,35
Q489357,Bauernhaus,35
Q1302299,Kinder- und Jugendfreizeiteinrichtung,35
Q22733,Garage,35
Q10521078,Großsteingrab,35
Q18615527,Straßenbahnbrücke,34
Q32815,Moschee,34
Q13930359,Volksfest in Deutschland,34
Q1510380,Hain,34
Q6451172,Leichenhaus,34
Q1656682,Veranstaltung,34
Q3305213,Gemälde,34
Q91203,Schanze,34
Q214252,Pferdestall,34
Q682697,Gesamtschule,33
Q97730005,Wappenstein,33
Q35054,Postamt,33
Q990488,Luftkurort,33
Q126807,Kindergarten,33
Q1500615,Gemeindezentrum,33
Q44844,Bismarckturm,33
Q131196039,Kreistag in Niedersachsen,33
Q383092,Kunstakademie,33
Q1348006,Häuserblock,33
Q22908,Altenheim,33
Q55491,Tunnelbahnhof,33
Q11183017,Freilichtbühne,32
Q901497,Braunkohlentagebau,32
Q11303,Wolkenkratzer,32
Q167270,Markenzeichen,32
Q2293362,Skulpturengruppe,32
Q14829592,Haufendorf,32
Q15079663,U-Bahn-Linie,32
Q1411996,Laufwasserkraftwerk,32
Q2333944,Statistischer Stadtteil,31
Q57607,Weihnachtsmarkt,31
Q2520412,Verwaltungsgericht,31
Q963908,private Hochschule,31
Q29023906,Sonderausstellung,31
Q1690211,Waschhaus,31
Q618779,Auszeichnung/Preis,31
Q5774403,Geschichtsverein,31
Q22746,Volksgarten,31
Q336473,Hilfsorganisation,31
Q1681353,Moor,31
Q158626,Balkenbrücke,31
Q156097,ATP Hamburg,30
Q838948,Kunstwerk,30
Q79337953,Stadtteil von Kiel,30
Q34763,Halbinsel,30
Q1751626,Theaterfestival,30
Q821435,Berliner Bezirk,30
Q15324,Gewässer,30
Q38723,Hochschule,30
Q976622,Talbrücke,30
Q615810,Wasserburg,30
Q515449,Regionalbahn,30
Q3918,Universität,29
Q2516330,Verkehrslandeplatz,29
Q130326199,preserved watercraft,29
Q641226,Arena,29
Q5300041,Doppelwohnhaus,29
Q385557,Schlachthof,29
Q44782,Hafen,29
Q622425,Nachtclub,29
Q10283556,Bahnbetriebswerk,29
Q1623243,Hofschaft,28
Q1662011,Industriebau,28
Q55097243,ehemalige Organisation,28
Q91122,Bunker,28
Q15974307,Einheitsgemeinde in Deutschland,28
Q1785071,Fort,28
Q7328910,Kunstsammlung,28
Q13586493,Freibad,28
Q1059324,Universitätsklinikum,28
Q27891167,Erbstollen,28
Q92062,Motte,28
Q2221906,geographische Lage,27
Q213441,Laden,27
Q1759852,Skulpturengarten,27
Q162602,Flussinsel,27
Q158555,Schrägseilbrücke,27
Q423208,Privatschule,27
Q133056,Gebirgspass,27
Q19833158,Aufbahrungshalle,27
Q740445,Gebirgskamm,27
Q188509,Stadtteil,27
Q1390618,statistischer Bezirk,27
Q39364723,Krankenhausgebäude,26
Q475000,Aktienmarkt,26
Q188040,Grube,26
Q7372078,Ruderverein,26
Q928357,Bronzeplastik,26
Q22652,Grünfläche,26
Q1454827,Freitreppe,26
Q3352369,Fußweg,26
Q478986,Transformatorenstation,26
Q2178147,Branchenverband,26
Q13601825,Sparkasse,26
Q51404,Pride Parade,26
Q655677,Nebenbahn,26
Q104099048,Gerichtsbibliothek,26
Q106996250,Ort des Gestapoterrors,26
Q110710943,Ortsteil von Leipzig,26
Q830528,Radrennbahn,26
Q372934,Findling,26
Q18704634,Eisenbahnmuseum,26
Q209465,Campus,26
Q2611489,Verteidigungsbauwerk,25
Q43514341,Autobahnbrücke,25
Q277760,Torhaus,25
Q1032372,Hackspace,25
Q2496264,Universitätsarchiv,25
Q4835091,Territorium,25
Q1767829,Volluniversität,25
Q106504986,Siedlung der Hallstattzeit,25
Q106505045,Siedlung der Linearbandkeramik,25
Q253270,Stadtbezirk Münchens,25
Q3152824,kulturelle Organisation,25
Q88205,römisches Militärlager,25
Q861951,Polizeidienststelle,25
Q110977120,Station der U-Bahn Berlin,24
Q160645,Waisenhaus,24
Q740752,Verkehrsunternehmen,24
Q1556887,Gut,24
Q279118,Holzhaus,24
Q63099748,Hotelgebäude,24
Q1757063,Freibad,24
Q748998,Feuerwachturm,24
Q294297,öffentlicher Bücherschrank,24
Q1475403,Kunsthalle,24
Q2143781,Schauspielschule,24
Q17156793,American-Football-Verein,24
Q1430154,Kreuzgang,24
Q857909,Biergarten,24
Q1743327,kirchliche Hochschule,24
Q3661265,Studentenwohnheim,24
Q81529763,Postkartenverlag,24
Q15734684,Körperschaft des öffentlichen Rechts (Deutschland),23
Q2101791,Polizeipräsidium,23
Q921543,Wasserschutzgebiet,23
Q175331,Demonstration,23
Q2532203,Volkssternwarte,23
Q42896655,Wirtschaftsgebäude,23
Q55485,Kopfbahnhof,23
Q1425352,Forsthaus,23
Q23002042,private Bildungseinrichtung,23
Q123945861,ehemaliges Gaswerk,23
Q91459453,Kreisverband,23
Q338112,Erholungsgebiet,23
Q231685,Kreuzweg,23
Q210999,Psychiatrische Klinik,23
Q1454597,Freimaurerloge,23
Q1088552,Katholisches Kirchengebäude,23
Q299617,ATP München,23
Q1778846,Truppenübungsplatz,23
Q858485,Schnellfahrstrecke,23
Q389959,Luftschutzbunker,23
Q45400320,Open-Access-Herausgeber,22
Q27968055,Ausgabe einer wiederkehrenden Veranstaltung,22
Q1797122,Künstlerhaus,22
Q787934,Automuseum,22
Q1464145,Gymnasium in Bayern,22
Q21028957,Hochschule,22
Q313414,WTA Berlin,22
Q22674925,aufgegebene Siedlung,22
Q57831,Festung,22
Q12323661,Landschaft (Landstände),22
Q573766,Sportschule,22
Q896009,Landesstraße,22
Q132241,Festival,22
Q170980,Obelisk,22
Q27590,Heide,22
Q309250,Hof,21
Q175208,Biotop,21
Q1021290,Musikschule,21
Q24699794,Museumsgebäude,21
Q1792401,Kunstgraben,21
Q178692,Kran,21
Q1277340,Felsenkeller,21
Q58037906,Gerberhaus,21
Q76598130,Pfarrbereich in der EKMD,21
Q2126722,Radschnellweg,21
Q15911738,Wasserkraftwerk,21
Q380356,Wahres Kreuz,21
Q628179,Trampelpfad,21
Q42998,Orchester,21
Q721931,Schuppen,21
Q99516640,Wandbild,21
Q2311284,Spitalkirche,21
Q87167,Manuskript,21
Q338313,Gewerbegebiet,21
Q48498,Bilderhandschrift,21
Q2556234,Weinort,21
Q1128397,Konvent,21
Q12323,Staudamm,20
Q101659,Dolmen,20
Q1156831,Dachverband,20
Q190928,Werft,20
Q27031827,Open-Data-Portal,20
Q520381,Durchmesserlinie,20
Q98141386,Klostermauer,20
Q1143635,Business School,20
Q17521458,Bademöglichkeit,20
Q828973,Berufskolleg,20
Q162875,Mausoleum,20
Q7419624,Doppelhaus,20
Q748019,wissenschaftliche Gesellschaft,20
Q65227640,Betriebsbahnhof,20
Q220505,Filmfestival,20
Q2138247,Regional-Express,20
Q1899015,Naturschutzorganisation,20
Q1970365,Naturkundemuseum,20
Q1478443,Fußballverband,20
Q24398318,religiöses Gebäude,20
Q26132862,olympische Disziplinveranstaltung,19
Q77115,Gemeinschaftszentrum,19
Q14752696,Römisches Bauwerk,19
Q55496607,Klosterkirche,19
Q20850562,Schülerzeitung,19
Q6500733,Druckerei,19
Q183061,Fassade,19
Q219423,Wandmalerei,19
Q896958,Landesgartenschau,19
Q28043022,Eisenbahnprojekt,19
Q187456,Bar,19
Q170477,Schornstein,19
Q856584,Bibliotheksgebäude,19
Q55490,Durchgangsbahnhof,19
Q55097207,ehemaliger Verkehrsweg,19
Q110044875,Kinder- und Jugendsportschule (DDR),19
Q829080,Berufsverband,19
Q26252263,Stadtbahnlinie,19
Q2399482,Techno-Club,19
Q170087,Volkshochschule,19
Q2974115,Rundweg,19
Q1401585,Mittelzentrum,19
Q7777019,Wiese,19
Q1779527,Studentenverbindung,19
Q2327779,Stadtpfarrkirche,19
Q148319,Planetarium,19
Q182676,Schutzhütte,18
Q2327632,Stadtmuseum,18
Q96378286,abgegangene Synagoge,18
Q785952,Badehaus,18
Q106259,Polder,18
Q9381142,Höhenzug,18
Q830560,Bestiarium,18
Q1707610,Kriegsgräberstätte,18
Q50060886,Schwebebahnstation,18
Q102496,Pfarrei,18
Q105321449,LGBT-Bar,18
Q805353,Ballsaal,18
Q2293148,Skulpturenweg,18
Q798436,Backhaus,18
Q992794,Brunnenstube,18
Q53536964,Königlicher Palast,18
Q1400264,Künstlerkollektiv,18
Q695850,Militärflugplatz,18
Q1066997,Wehr,18
Q15115254,Steinbruch,18
Q513984,Volksschule,18
Q399445,Amt,18
Q107679,Klippe,18
Q777851,Ausbesserungswerk,18
Q193475,Menhir,18
Q13416228,Müllverbrennungsanlage,18
Q2111762,Fertigungshalle,18
Q87487749,ehemaliges Hotel,18
Q1650922,Landgemeinde,18
Q291177,Rosarium,18
Q15077303,Landschaftsgarten,18
Q2304397,Wohnhochhaus,18
Q451019,Gutsbezirk,17
Q184644,Konservatorium,17
Q369730,Fußgängerzone,17
Q420962,Museumsbahn,17
Q1526889,Moorheilbad,17
Q12019965,Eissporthalle,17
Q785486,Autobahndreieck,17
Q2269158,Seminar,17
Q1589077,Jugendherberge,17
Q567998,Badestelle,17
Q12783,Englischer Landschaftsgarten,17
Q505681,Straßendorf,17
Q57346,Wehrmauer,17
Q475699,Wege der Jakobspilger,17
Q314862,Studentenwerk,17
Q1391517,Fachverband,17
Q667276,Kunstausstellung,17
Q98446186,Schlossökonomie,17
Q2251791,Schulzentrum,17
Q285852,Freiwillige Feuerwehr,17
Q3329412,archäologisches Museum,17
Q17156398,Steinkreuz,17
Q385994,Fachbibliothek,17
Q110977521,Bahnhof der S-Bahn Berlin,17
Q970201,Tropfhaus,16
Q16884952,Landhaus,16
Q691244,Verbindungskurve,16
Q124834336,geplante Eisenbahnstrecke,16
Q1549591,Großstadt,16
Q1078765,Eisenbahnunfall,16
Q708676,karitative Vereinigung,16
Q133067,Mosaik,16
Q813966,Bedürfnisanstalt,16
Q2529983,Vogelherd,16
Q106505016,Siedlung der Latènezeit,16
Q328468,NS-Konzentrationslager,16
Q166735,Bruch,16
Q494829,Busbahnhof,16
Q13580678,Mehrspartensportverein,16
Q180958,Fakultät,16
Q15513569,Fachwerkgebäude,16
Q124423037,Ortsbezirk von Frankfurt am Main,16
Q20437094,Installation,16
Q3982337,Puppentheaterkompanie,16
Q160742,Abtei,16
Q2020153,wissenschaftliche Konferenz,16
Q317548,Erholungsort,16
Q783794,Gesellschaft,16
Q240854,Halle,16
Q1630622,Trinkbrunnen,16
Q281644,Kunstverein,16
Q1149783,In commendam,16
Q350495,Staustufe,16
Q11483816,jährliche Veranstaltung,15
Q18127,Plattenlabel,15
Q2467461,Universitätsabteilung,15
Q2021515,Olympiastützpunkt,15
Q48975698,Exzellenzcluster,15
Q155271,Denkfabrik,15
Q7315155,Forschungszentrum,15
Q897303,Kirchenkreis,15
Q174921,Burschenschaft,15
Q2190251,Kunstzentrum,15
Q1780072,Kommandobehörde,15
Q1424449,Jagdschloss,15
Q58917,Stollen,15
Q1147171,Kreuzungsbahnhof,15
Q28564,öffentliche Bibliothek,15
Q12511,Treppe,15
Q1306755,Verwaltungssitz,15
Q2080521,Markthalle,15
Q1802087,Landesarbeitsgericht,15
Q756102,Freilandmuseum,15
Q15242449,Kläranlage,15
Q364005,Kinderkrippe,15
